numberOfGuests,roomType,maxNights,minNights,city,state,latitude,longitude,price,numberOfBedsAvailable,numberOfBedrooms,allowsChildren,allowsEvents,allowsPets,allowsSmoking,allowsInfants,review_count,amenities,regular_bed,relaxing_bed,kids_bed,numberofbathroom,bathroomType
4,Private room,1125,2,Ngong,NAIROBI,-1.35691,36.66787,22.0,2.0,2.0,0,0,0,1,1,2.0,1,2,0,0,1.0,shared
2,Private room,1125,1,Nairobi,NAIROBI,-1.33553,36.67175,20.0,0.0,1.0,1,0,1,1,1,0.0,0,0,0,0,1.0,shared
2,Shared room,1125,1,Ngong,Kajiado,-1.3493,36.65977,21.0,1.0,1.0,1,0,0,0,1,0.0,0,1,0,0,1.0,shared
6,Private room,1125,2,Ngong,Kajiado,-1.36027,36.65688,23.0,6.0,2.0,1,1,0,1,1,0.0,1,6,0,0,3.0,unknown
3,Private room,1125,3,Ngong,Kajiado,-1.35503,36.66845,19.0,3.0,3.0,0,1,0,1,0,0.0,1,3,0,0,3.0,shared
4,Entire unit,20,1,Ngong,Kajiado,-1.35702,36.66838,18.0,2.0,2.0,1,0,0,0,1,0.0,0,1,1,0,2.0,unknown
4,Private room,365,1,Nairobi,Kajiado,-1.33475,36.67218,20.0,2.0,2.0,1,0,0,0,1,0.0,0,2,0,0,2.0,unknown
2,Entire unit,1,1,Nairobi,NAIROBI,-1.32804,36.68635,20.0,1.0,2.0,1,1,1,1,1,1.0,1,1,0,0,1.0,unknown
2,Private room,1125,1,Ngong,Kajiado,-1.35519,36.66803,20.0,4.0,1.0,1,1,1,0,1,0.0,1,4,0,0,1.0,private
2,Entire unit,365,2,Nairobi,NAIROBI,-1.347,36.666,24.0,0.0,1.0,1,0,0,1,1,9.0,1,0,0,0,1.0,unknown
2,Private room,1125,1,Nairobi,NAIROBI,-1.3292,36.70502,20.0,1.0,1.0,0,0,0,0,0,0.0,1,1,1,0,1.0,unknown
1,Entire unit,1125,3,Nairobi,NAIROBI,-1.302,36.701,23.0,2.0,2.0,1,1,0,0,0,0.0,1,1,0,0,1.0,unknown
2,Entire unit,365,1,Nairobi,NAIROBI,-1.28117,36.69471,20.0,2.0,1.0,0,0,1,0,0,1.0,1,0,0,0,1.0,unknown
1,Shared room,1125,1,Nairobi,NAIROBI,-1.26481,36.72888,20.0,1.0,1.0,0,0,1,1,0,0.0,1,1,0,0,1.0,shared
2,Entire unit,30,7,Nairobi,NAIROBI,-1.26748,36.72284,20.0,1.0,2.0,1,0,0,0,1,0.0,1,1,0,0,1.0,unknown
2,Private room,1125,2,Nairobi,NAIROBI,-1.26084,36.74251,18.0,1.0,1.0,0,0,0,0,0,0.0,1,1,0,0,1.0,private
2,Private room,1125,1,Nairobi,NAIROBI,-1.278,36.736,20.0,1.0,1.0,1,0,0,0,1,0.0,1,0,0,0,2.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.26051,36.74064,18.0,1.0,2.0,1,0,0,0,1,5.0,1,0,0,0,1.0,unknown
2,Entire unit,365,7,Nairobi,NAIROBI,-1.317,36.843,22.0,1.0,1.0,0,0,0,0,0,3.0,0,1,0,0,1.0,unknown
2,Entire unit,365,2,Nairobi,NAIROBI,-1.2803,36.77273,20.0,1.0,1.0,1,0,0,1,0,34.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.29871,36.74733,20.0,1.0,2.0,0,0,0,0,0,79.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.27227,36.81816,24.0,1.0,2.0,0,0,0,0,0,110.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.32335,36.79634,20.0,1.0,2.0,0,0,0,0,0,77.0,0,0,0,0,1.0,unknown
4,Private room,100,3,Nairobi,Kiambu,-1.19472,36.8423,20.0,2.0,2.0,1,0,0,0,1,18.0,1,2,0,0,1.0,unknown
4,Entire unit,365,1,Nairobi,NAIROBI,-1.27369,36.78982,20.0,2.0,2.0,1,0,0,0,1,13.0,0,0,0,0,1.0,unknown
2,Entire unit,1125,2,Nairobi,NAIROBI,-1.29706,36.75495,18.0,1.0,2.0,1,0,1,0,0,33.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.28091,36.82713,19.0,1.0,1.0,0,0,0,0,0,83.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.266,36.837,20.0,1.0,1.0,1,1,1,1,1,0.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.27903,36.82698,18.0,1.0,2.0,0,0,0,0,0,22.0,0,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.30607,36.82212,19.0,0.0,2.0,0,0,0,1,0,107.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,5,Nairobi,NAIROBI,-1.21872,36.88846,18.0,1.0,1.0,0,0,0,0,0,38.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,2,Nairobi,NAIROBI,-1.2771,36.82818,22.0,1.0,1.0,1,0,0,1,1,61.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,2,Nairobi,NAIROBI,-1.27894,36.79057,23.0,0.0,2.0,1,0,0,0,0,13.0,1,0,0,0,1.0,unknown
2,Entire unit,365,2,Nairobi,NAIROBI,-1.27026,36.78603,22.0,1.0,1.0,1,0,0,0,1,27.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.30589,36.82126,22.0,1.0,2.0,1,0,0,0,1,35.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.21787,36.8886,18.0,1.0,1.0,0,1,0,1,0,50.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.37374,36.75397,18.0,2.0,1.0,0,0,0,0,0,8.0,1,2,1,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.3058800000000002,36.8206,18.0,1.0,2.0,1,0,0,0,1,71.0,0,1,0,0,1.0,unknown
1,Private room,1125,1,Nairobi,NAIROBI,-1.29847,36.76293,18.0,1.0,1.0,0,0,0,0,0,9.0,1,1,0,0,1.0,private
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.21804,36.8874,20.0,1.0,1.0,1,0,0,0,1,2.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.30704,36.821,22.0,1.0,1.0,1,0,0,0,1,38.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.31918,36.84335,18.0,1.0,1.0,1,0,0,0,1,9.0,0,1,0,0,1.0,unknown
2,Private room,1125,1,Nairobi,NAIROBI,-1.32529,36.88549,22.0,1.0,1.0,1,0,0,0,1,14.0,1,1,0,0,1.0,shared
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.31786,36.84236,22.0,1.0,1.0,1,0,0,0,1,30.0,1,1,0,0,1.0,unknown
1,Entire unit,1125,2,Nairobi,NAIROBI,-1.23981,36.81346,20.0,1.0,1.0,0,0,1,0,0,16.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.30045,36.74578,19.0,0.0,1.0,1,0,0,0,1,7.0,1,0,0,0,1.0,unknown
2,Private room,1125,1,Nairobi,NAIROBI,-1.25545,36.81192,20.0,1.0,1.0,1,0,0,0,1,3.0,1,1,0,0,1.0,private
2,Other,1125,1,Nairobi,NAIROBI,-1.321,36.678,20.0,1.0,1.0,1,0,1,1,1,6.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.30048,36.89106,20.0,1.0,1.0,1,0,1,0,1,15.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.28956,36.94794,22.0,0.0,1.0,0,0,0,0,0,14.0,1,0,0,0,1.0,unknown
2,Private room,1125,1,Ruaka,Kiambu,-1.2041,36.7714,22.0,1.0,2.0,1,0,0,1,1,4.0,1,1,0,0,2.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.21657,36.88711,20.0,1.0,1.0,1,0,1,0,1,9.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,Machakos,-1.38077,36.925,19.0,1.0,2.0,1,0,0,0,1,8.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.359,36.915,20.0,2.0,1.0,1,0,1,0,1,133.0,0,2,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.31631,36.92238,20.0,1.0,1.0,1,0,0,0,0,66.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.27711,36.82933,22.0,1.0,1.0,1,0,1,0,1,51.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,7,Nairobi,Kiambu,-1.20316,36.83863,20.0,1.0,1.0,0,0,0,0,0,7.0,0,0,0,0,1.0,unknown
2,Entire unit,1125,20,Nairobi,NAIROBI,-1.27415,36.82894,22.0,1.0,1.0,0,0,0,0,0,1.0,1,0,0,0,1.0,unknown
4,Entire unit,1125,1,Nairobi,NAIROBI,-1.27363,36.82292,19.0,2.0,2.0,1,0,0,0,1,30.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,1,Pridelands,Machakos,-1.41036,36.94984,20.0,1.0,1.0,1,0,0,1,1,34.0,1,1,0,0,1.0,unknown
