numberOfGuests,roomType,maxNights,city,state,price,numberOfBedsAvailable,numberOfBedrooms,allowsChildren,allowsEvents,allowsPets,allowsSmoking,allowsInfants,review_count,amenities,regular_bed,relaxing_bed,kids_bed,numberofbathroom,bathroomType
4,Entire unit,1125,Nairobi,NAIROBI,20.0,2.0,2.0,1,0,1,0,1,27.0,1,1,0,0,2.0,unknown
1,Private room,1125,Mombasa,Mombasa,25.0,1.0,1.0,1,0,0,0,0,1.0,1,1,0,0,1.0,private
4,Entire unit,30,DIANI BEACH,Kwale,200.0,3.0,2.0,1,0,0,1,1,52.0,1,3,0,0,2.0,unknown
2,Private room,1125,Nairobi,NAIROBI,16.0,1.0,1.0,0,0,0,0,0,27.0,1,1,0,0,1.0,private
2,Entire unit,1125,Nairobi,NAIROBI,14.0,1.0,2.0,0,0,0,0,0,77.0,1,1,0,0,1.0,unknown
2,Entire unit,365,Nairobi,NAIROBI,19.0,1.0,1.0,0,0,1,0,0,3.0,1,0,0,0,1.0,unknown
2,Entire unit,90,Mombasa,Mombasa,40.0,1.0,1.0,1,1,0,0,1,1.0,1,1,0,0,1.0,unknown
5,Private room,1125,Nairobi,Muranga County,30.0,5.0,3.0,1,1,0,1,0,0.0,1,5,0,0,3.0,unknown
6,Entire unit,365,Kiambu,Kiambu,63.0,3.0,3.0,0,0,0,0,0,0.0,1,0,0,0,2.0,unknown
4,Entire unit,1125,Ruaka,Kiambu,39.0,2.0,2.0,1,1,1,1,1,1.0,1,0,0,0,2.0,unknown
4,Entire unit,1125,Athi River,Machakos,25.0,2.0,2.0,1,0,1,0,1,0.0,1,0,0,0,2.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,55.0,4.0,2.0,0,0,0,1,1,1.0,0,2,0,0,2.0,unknown
2,Entire unit,365,Eldoret,Uasin Gishu County,33.0,1.0,1.0,0,0,0,0,0,2.0,0,0,0,0,1.0,unknown
3,Shared room,30,Nairobi,NAIROBI,10.0,3.0,1.0,0,0,0,0,0,0.0,1,3,0,0,2.0,shared
4,Entire unit,1125,Nairobi,NAIROBI,32.0,2.0,2.0,1,0,0,0,1,1.0,1,0,0,0,1.0,unknown
5,Entire unit,1125,Nairobi,NAIROBI,55.0,4.0,3.0,1,0,0,0,1,55.0,1,3,0,0,2.0,unknown
4,Entire unit,1125,Nakuru,Nakuru,100.0,4.0,4.0,1,1,1,0,1,0.0,1,3,1,0,2.0,unknown
14,Other,30,Eldoret,Uasin Gishu County,45.0,9.0,1.0,1,0,0,0,1,0.0,1,2,1,1,5.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,20.0,1.0,2.0,1,0,0,0,1,0.0,0,0,0,0,1.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,14.0,1.0,2.0,0,0,1,0,0,3.0,1,0,0,0,1.0,unknown
4,Entire unit,60,Nairobi,NAIROBI,44.0,3.0,2.0,1,0,0,1,1,3.0,1,1,1,0,3.0,unknown
16,Other,1125,Isiolo,Isiolo County,23.0,2.0,40.0,0,0,1,0,0,5.0,1,1,0,0,40.0,shared
2,Entire unit,1125,Nairobi,NAIROBI,58.0,1.0,1.0,0,0,0,0,0,0.0,1,1,1,0,1.0,unknown
